category,description,image_url,main_category,name,price
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/junior wolowina sos.jpg,Koty,whiskas junior wołowina w sosie,"2,56"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/kurczak w galarecie bgfdfdfhfh.jpg,Koty,whiskas kurczak w galarecie,"2,56"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3617405.jpg,Koty,whiskas kremowa zupa z wołowiną,"2,56"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,"https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/losos galareta vgktyfytgh,.jpg",Koty,whiskas łosoś w sosie,"2,56"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3617404.jpg,Koty,whiskas kremowa zupa z kurczakiem,"2,56"
Karmy mokre,Pełnoporcjowa karma dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3553105.jpg,Koty,purina friskies mięsne dania w sosie 12x100g,"16,52"
Karmy mokre,Pełnoporcjowa karma dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3553101.jpg,Koty,purina friskies rybne dania w sosie 4x100g,"5,62"
Karmy mokre,Pełnoporcjowa karma dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3553103.jpg,Koty,purina friskies kurczak w sosie,"1,65"
Karmy mokre,"Drobiowe dania w galaretce 3x z drobiem, 3x z kurczakiem, 3x z kaczką, 3x z indykiem.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/10=r iojsdibwdfvgcwbvciwhv drobiowe.jpg,Koty,kitekat drobiowe dania,"18,40"
Karmy mokre,"Delikatne dania w sosie 3x z jagnięciną, 3x z indykiem, 3x z drobiem, 3x z królikiem.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/bglwrjghiedfiobnldjnbiethjiohjkldvnblzdnfgioher76346739047639639057638976389057639045.jpg,Koty,kitekat swojskie dania,"18,40"
Karmy mokre,"Mięsna Uczta w sosie z kaczką, z dziczyzną, z królikiem, z sercami.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3278137tyjutuk.jpg,Koty,kitekat mięsna uczta w sosie,"6,56"
Karmy mokre,"Delikatne dania w sosie 2x z jagnięciną, 2x z królikiem.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/134203.jpg,Koty,kitekat delikatne dania w sosie,"6,56"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/kurczak puch auiasnjscduASdddswaweqwe.jpg,Koty,kitekat kurczak,"5,04"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/kaczka 892349234785729453.jpg,Koty,kitekat kaczka,"5,04"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/makrela ftyixfxsfghugfxzsfxzdxx.jpg,Koty,kitekat makrela,"5,04"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/256677.jpg,Koty,kitekat łosoś w sosie,"1,90"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/wolowina vgrxderassy757456gfy686tr688.jpg,Koty,kitekat wołowina,"5,04"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/256684.jpg,Koty,kitekat kurczak w sosie,"1,90"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/256660.jpg,Koty,kitekat cielęcina w sosie,"1,90"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/10 2 w sosie.jpg,Koty,whiskas drobiowe dania w sosie 10+2,"18,99"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/miesne w so sie soe soe hjgjfyhb.jpg,Koty,whiskas mięsne dania w sosie,"8,89"
Karmy mokre,Karma pełnoporcjowa dla kociąt.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/miesne w sos ghcfgrgilhdzehjbgj.jpg,Koty,whiskas junior mięsne dania w sosie,"8,89"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/drobiowe dania w sosie sdjkfhghjWIbgfzaehsryj.jpg,Koty,whiskas drobiowe dania w sosie,"8,89"
Karmy mokre,Karma pełnoporcjowa dla starszych kotów powyżej 7 roku życia.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/drob senior galareta.jpg,Koty,whiskas senior 7+ drobiowe dania w galarecie,"8,89"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3617406.jpg,Koty,whiskas kremowa zupa tradycyjne smaki,"8,89"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów. Z Indykiem.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/indyk mokra gfxgrwxvghunkbhug.jpg,Koty,whiskas indyk w galarecie,"5,95"
Karmy mokre,Pełnoporcjowa karma dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3553104.jpg,Koty,purina friskies łosoś w sosie,"1,65"
